 TITLE = "Thermal Cycle at monitoring locations"
 VARIABLES = "Time" "T1 (K)" "T2 (K)" "T3 (K)"  "T4 (K)"
   0.000  298.000  298.000
   0.149  298.070  298.070
   0.446  298.225  298.226
   0.740  298.432  298.432
   1.030  298.726  298.727
   1.317  299.133  299.133
   1.600  299.714  299.714
   1.880  300.562  300.563
   2.155  301.786  301.787
   2.426  303.538  303.539
   2.692  306.014  306.016
   2.953  309.454  309.458
   3.208  314.156  314.163
   3.458  320.499  320.508
   3.701  328.900  328.912
   3.937  339.793  339.804
   4.164  353.564  353.566
   4.381  370.404  370.383
   4.586  390.163  390.107
   4.774  412.039  411.945
   4.931  433.396  433.282
   5.015  445.974  445.867
   5.045  450.612  450.509
   5.075  455.341  455.246
   5.105  460.162  460.076
   5.135  465.071  464.998
   5.165  470.067  470.010
   5.195  475.146  475.110
   5.225  480.307  480.294
   5.255  485.544  485.561
   5.285  490.855  490.907
   5.315  496.236  496.328
   5.345  501.681  501.821
   5.375  507.186  507.382
   5.405  512.745  513.004
   5.435  518.353  518.683
   5.465  524.002  524.412
   5.495  529.687  530.185
   5.525  535.401  535.995
   5.555  541.134  541.835
   5.585  546.880  547.695
   5.615  552.628  553.567
   5.645  558.372  559.443
   5.675  564.100  565.312
   5.705  569.803  571.164
   5.735  575.470  576.987
   5.765  581.086  582.767
   5.795  586.642  588.492
   5.825  592.128  594.154
   5.855  597.529  599.736
   5.885  602.833  605.224
   5.915  608.028  610.605
   5.945  613.101  615.867
   5.975  618.038  620.992
   6.005  622.824  625.967
   6.035  627.447  630.776
   6.065  631.893  635.405
   6.095  636.149  639.839
   6.125  640.200  644.066
   6.155  644.036  648.071
   6.185  647.643  651.841
   6.215  651.010  655.365
   6.245  654.125  658.629
   6.275  656.977  661.622
   6.305  659.557  664.335
   6.335  661.855  666.758
   6.365  663.864  668.880
   6.395  665.577  670.696
   6.425  666.988  672.198
   6.455  668.091  673.381
   6.485  668.885  674.241
   6.515  669.366  674.776
   6.545  669.535  674.984
   6.575  669.392  674.867
   6.605  668.940  674.426
   6.635  668.182  673.664
   6.665  667.123  672.588
   6.695  665.768  671.202
   6.725  664.125  669.514
   6.755  662.201  667.532
   6.785  660.005  665.266
   6.815  657.546  662.725
   6.845  654.834  659.920
   6.875  651.880  656.863
   6.905  648.695  653.565
   6.935  645.290  650.039
   6.965  641.677  646.298
   6.995  637.867  642.353
   7.025  633.875  638.220
   7.055  629.710  633.910
   7.085  625.387  629.437
   7.115  620.917  624.815
   7.145  616.312  620.055
   7.175  611.584  615.172
   7.205  606.746  610.179
   7.235  601.808  605.086
   7.265  596.782  599.907
   7.295  591.679  594.653
   7.325  586.510  589.335
   7.355  581.284  583.963
   7.385  576.012  578.549
   7.415  570.703  573.103
   7.445  565.366  567.633
   7.475  560.009  562.148
   7.505  554.641  556.657
   7.535  549.271  551.168
   7.565  543.904  545.689
   7.595  538.549  540.226
   7.625  533.211  534.786
   7.655  527.898  529.376
   7.685  522.615  524.001
   7.715  517.368  518.667
   7.745  512.162  513.378
   7.775  507.002  508.140
   7.805  501.892  502.956
   7.835  496.837  497.831
   7.865  491.839  492.768
   7.895  486.904  487.770
   7.925  482.033  482.841
   7.955  477.231  477.984
   7.985  472.498  473.200
   8.025  466.233  466.870
   8.084  457.452  458.005
   8.153  447.394  447.862
   8.228  436.939  437.329
   8.308  426.424  426.746
   8.392  416.062  416.324
   8.479  405.995  406.209
   8.569  396.332  396.506
   8.661  387.149  387.290
   8.755  378.496  378.611
   8.851  370.407  370.501
   8.950  362.899  362.976
   9.049  355.973  356.036
   9.151  349.621  349.673
   9.254  343.826  343.869
   9.358  338.565  338.600
   9.464  333.809  333.839
   9.571  329.527  329.551
   9.680  325.686  325.705
   9.789  322.251  322.266
   9.900  319.189  319.201
  10.012  316.467  316.477
  10.124  314.055  314.063
  10.238  311.924  311.930
  10.353  310.046  310.051
  10.469  308.396  308.400
  10.585  306.951  306.954
  10.703  305.689  305.691
  10.821  304.590  304.591
  10.940  303.637  303.638
  11.051  302.877  302.878
  11.176  302.123  302.124
  11.338  301.328  301.329
  11.521  300.617  300.618
  11.721  300.021  300.022
  11.935  299.545  299.546
  12.161  299.177  299.178
  12.398  298.912  298.913
  12.645  298.726  298.727
  12.901  298.593  298.594
  13.165  298.496  298.497
  13.436  298.429  298.430
  13.715  298.380  298.381
  14.000  298.343  298.344
  14.292  298.309  298.310
  14.590  298.269  298.271
  14.894  298.219  298.220
  15.204  298.156  298.157
  15.519  298.096  298.097
  15.839  298.031  298.031
  16.000  298.000  298.000
